"%s and greater","%s dan lebih"
"Advanced Search","Advanced Search"
"All","Semua"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Peta situs yang dibuat otomatis"
"Catalog Advanced Search","Pencarian Lanjut dari Katalog"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Kembali ke Halaman Utama"
"Grid","Kisi"
"Home","Halaman Utama"
"List","Daftar"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modify your search"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Istilah Pencarian yang Populer"
"Popular search terms","Isitlah pencarian yang populer"
"Relevance","Relevance"
"Required Fields","Field yang Dibutuhkan"
"Results","Hasil"
"Search","Cari"
"Search entire store here...","Pencarian di seluruh isi toko ..."
"Search results for '%s'","Hasil pencarian untuk '%s'"
"Search results for: '%s'","Hasil pencarian untuk: '%s'"
"Search Settings","Setelan Pencarian"
"Search Site","Situs Pencarian"
"Search Terms","Search Terms"
"Search Type","Search Type"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Tidak ada istilah pencarian untuk saat ini."
"up to %s","Sampai %s"
"Yes","Yes"
"You have to specify at least one search term","Anda harus menspesifikasikan setidaknya satu istilah pencarian"
"Your search returns no results.","Hasil pencarian anda tidak ada."
